slug,name,location,bio,is_resident,profile_image_url,instagram_url,soundcloud_url,spotify_url,youtube_url,mixcloud_url,website_url,aliases
alfonso-tan,Alfonso Tan,"Seattle, WA","Seattle-based DJ/producer specializing in house and adjacent dance music. Plays at Monkey Loft, LOST, Uniting Souls, Studio 4/4.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/alfonso-tan-6a2b60a7.jpg,https://www.instagram.com/alfonso_tan/,https://soundcloud.com/alphonso-tan,,,,,
alice-camille,Alice Camille,"Seattle, WA","Seattle-based DJ immersed in the electronic music scene since the late 1990s. A thoughtful selector with a wealth of experience in underground dance music. Regular performer at Kremwerk, Monkey Loft, and other Pacific Northwest venues, often playing b2b with Audie Dimitri.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/alice-camille-e000637a.jpg,https://www.instagram.com/alicecamillionaire/,,,,,,
alison-scott,Alison Scott,"Seattle, WA","Seattle-based certified yoga instructor and community figure, a regular at Shameless Productions events. Featured at Reverie Society daytime parties at Monkey Loft, co-presented by Shameless, Uniting Souls, and Viva Recordings. Leads live yoga sessions alongside electronic music DJs.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs%2Falison-scott-075222ec.jpg,https://www.instagram.com/alisonstardust/,,,,,,
almond-brown,Almond Brown,"Seattle, WA","Seattle DJ and member of the Board of Deacons alongside Riz Rollins, Devlin Jenkins, and Joey Webb. Active in Seattle's underground house music community.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/almond-brown-fea6a748.jpg,,https://soundcloud.com/almondbrown,,,,,
ammo,Ammo,"Seattle, WA","Seattle-based DJ and live performer bringing dynamic sets to the underground dance scene. A regular presence in the city's electronic music community with an energetic, crowd-focused approach.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs%2Fammo-bd88b5b5.jpg,https://www.instagram.com/djammo/,,,,,,
ana-lucid,Ana-Lucid,"Seattle, WA","Ana-Lucid is Ana-Lisa, a Pacific Northwest producer and DJ shaping minimal beats, ethereal soundscapes, driving basslines, and deep grooves. Her public profiles connect her to Restless Planet, Makes Me Human, Flammable, Space Yacht, Between The Lines, Monkey Loft, Substation, and Kremwerk orbit. Since beginning to curate her sound in 2020, she has moved toward groovy, whimsical, spiritually tuned club music with a real local footprint.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/ana-lucid-156bf42f.jpg,https://www.instagram.com/ana_lucid_/,https://soundcloud.com/ana_lucid,,,,,
anabel-englund,Anabel Englund,"Los Angeles, CA","Anabel Englund is a Southern California singer, songwriter, producer, and DJ whose voice helped define a polished, emotionally direct corner of modern house music. Her collaborations with Hot Natured, MK, Lee Foss, Jamie Jones, and Hot Creations turned into major club moments, while later work on AREA10, Ultra, Defected, and her debut album Messing with Magic pushed her further into dance-pop territory. She carries hooks like a pop writer but understands the physical payoff of a house record. Anabel brings crossover glamour with club credibility,big vocals, real groove, and no shortage of lift.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/anabel-englund-6a17751d.jpg,https://www.instagram.com/anabelenglund/,https://soundcloud.com/anabelenglund,,,,,
anakim,Anakim,"Los Angeles, CA","Anakim is Riccardo LeBron, a Los Angeles-based DJ and producer whose own phrase for the sound is ""Intergalactic Underground Sounds."" His melodic house and techno leans cinematic, futuristic, dark, and emotionally charged, with concept-driven releases and a style shaped by Icon Collective, LA club culture, and big-room underground stages. The music is polished but not soft, often building suspense before opening into something huge. Anakim brings sci-fi drama, melodic pressure, and a little cosmic menace.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/anakim-dd52e261.jpg,https://www.instagram.com/anakim/,https://soundcloud.com/anakim,,,,,
androMo,Andromo,"Vancouver, BC","Vancouver-based DJ and producer originally from El Salvador, known for blending lush melodies with driving percussion for an emotive dance floor experience. Owner of Rainforest Music label. An active presence in the Pacific Northwest underground electronic music circuit.",false,https://i1.sndcdn.com/avatars-YnQ1yhSShxuKo3oh-LKRKZQ-t500x500.jpg,https://www.instagram.com/andromo/,https://soundcloud.com/andromo,,,,,
andy-warren,Andy Warren,"Portland, OR","Andy Warren is a Portland-based DJ and co-founder of Believe You Me and Process PDX, two names tied to the Pacific Northwest's deeper underground dance network. His work as a promoter and selector has helped build rooms where house, techno, and left-of-center club music can breathe outside the obvious circuit. As a DJ, he brings the patience of someone who understands both sides of the booth: the architecture of the night and the records that make it worth staying. Andy brings Portland's understated depth,smart pacing, durable grooves, and no unnecessary gloss.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/andy-warren-f401c79f.jpg,,https://soundcloud.com/andydwarren,,,,https://www.processpdx.club,
animyx,Animyx,"Seattle, WA","Seattle-based DJ known for a nostalgic, daytime-dancing flavor blending house and classic sounds. A regular at Monkey Loft and part of the Restless Planet crew, bringing warm, soul-driven sets to the Pacific Northwest underground scene.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/animyx-c440a792.jpg,https://www.instagram.com/animyx.dj/,https://soundcloud.com/animyx,,,,,
aos,Aos,"Seattle, WA","Aos is a Seattle producer, DJ, organizer, and member of secondnature and TUF. Her background runs through Tacoma DIY spaces, KUPS college radio, queer community work, and the textured edge of the Northwest underground. The sound is slippery and emotional: rhythmic enough for the floor, strange enough to keep the room awake. In Shameless language, Aos is sunrise music with teeth.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/aos-88ada1d8.png,https://www.instagram.com/aosseattle/,https://soundcloud.com/aosseattle,,,,,
area-303,Area 303,"Seattle, WA","Area 303 is a Seattle live techno and acid project associated with Larry Kleinke and Wilf Libgott, built around hardware-driven performance rather than laptop polish. Press around their live setup points to drum machines, acid lines, and improvisation. Area 303 brings the classic machine-room feeling: raw sequences, squelch, and Seattle techno with its sleeves rolled up.",false,https://www.hammarica.com/wp-content/uploads/2013/04/241-Shameless-Social-Hammarica-PR-and-657-DJ-Agency-Electronic-Dance-Music-News.jpg,,https://soundcloud.com/area303,,,,https://www.hammarica.com/area-303-to-rock-seattle-saturday-april-27th/,
aria-bare,Aria Bare,"Seattle, WA","Aria Bare is a queer techno producer and DJ rooted in the Pacific Northwest underground. Their music favors atmosphere, hardware-minded texture, and the kind of shadowy momentum that works as well in a DIY room as it does in a late-night club slot. As a selector, Aria Bare keeps the focus on tension and release rather than obvious shortcuts, letting experimental instincts sit inside functional techno pressure. The set comes with teeth and atmosphere: intimate, physical, and tuned for dancers who like the edges left sharp.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/aria-bare-73bbf34f.jpg,https://www.instagram.com/aria_bare/,https://soundcloud.com/ariabare,,,,,
ashley-younnia,Ashley Younnia (LA),"Los Angeles, CA","Ashley Younniä is a Los Angeles-based DJ, curator, and performing artist with a sound rooted in Black, queer, and femme-led house culture. Her work with parties like Stardust and TheyHouseLA has helped shape a soulful, sweaty corner of LA's underground. She plays with groove first, keeping the room lifted without sanding down the edges. A Shameless set from Ashley lands in that sweet spot between deep feeling, body music, and full dance-floor release.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs%2Fashley-younnia-767eea1d.jpg,https://www.instagram.com/ashleyyounnia/,,,,,,Ashley Younnia (LA)
atlee,Atlee,"Seattle, WA",Seattle DJ (Atlee Treasure) who has been active in the city's nightclub and radio scene since the early 2000s. Co-founded the Trust party series in 2009 alongside Kid Hops and Jason Justice. Owner of the Momentos Records label and music project Rozalesdmusic.,false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/atlee-27b92088.jpg,https://www.instagram.com/drakeatlee___/,https://soundcloud.com/atlee_music,,,,,
audie-dimitri,Audie Dimitri,"Seattle, WA","Audie Dimitri is a Seattle-based DJ known for all-vinyl dance parties, deep house, and underground club sounds. She has appeared on Innerflight Broadcast and plays local rooms including The Rendezvous and Monkey Loft. She often plays back-to-back with Alice Camille at Shameless and Reverie Society events.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/audie-dimitri-6656dda0.jpg,https://www.instagram.com/audiedimitri/,https://soundcloud.com/audiedimitri,,,,,
aundrea,Aundrea,"Seattle, WA","Seattle-based DJ bringing soulful and rhythmic sounds to the underground dance scene. A presence at Monkey Loft and other Seattle venues, playing alongside the city's finest DJs for 1luv events and beyond.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/aundrea-039822a5.jpg,,https://soundcloud.com/andrea-harrigan,,,,,
aurora-flux,Aurora Flux,"Seattle, WA","Seattle-based DJ delivering energetic, genre-crossing sets in the underground electronic music scene. A regular presence at local events, bringing powerful dance floor energy and a dynamic range of electronic sounds.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/aurora-flux-d8661ab9.jpg,https://www.instagram.com/auroraflux_/,,,,,,Aurora Flux (Live)
austin-robertson,Austin Robertson,"Seattle, WA","Seattle-via-SoCal DJ and event promoter, founder of Routine,a monthly event series at Ballard's Substation venue. Active in the Seattle underground electronic music scene.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/austin-robertson-4fe25e06.jpg,https://www.instagram.com/austinroutine/,https://soundcloud.com/austinroutine,,,,,
avignon,Avignon,"Seattle, WA","Seattle-based DJ, producer, and owner of AVIGNON ENTERTAINMENT (real name Michael Robertson). Influenced by DJ SNEAK, Low Steppa, OFFAIAH, and Franky Rizardo. A featured guest on C89.5 Seattle Summer Sessions and a regular presence at Seattle underground events and Shameless parties.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/avignon-3896f5e0.jpg,https://www.instagram.com/avignon.dj/,,,,,,
b-fly,B.Fly,"Seattle, WA","Seattle DJ Jyoti B.Fly, 19-year DJ veteran and KEXP radio host of Wo'Pop world music show. Caravan Seattle resident known for global house, breaks, and funk.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/b-fly-65a75f8e.jpg,,https://soundcloud.com/b-fly-1,,,,https://www.kexp.org/djs/jyoti-bfly/,
b-lake-peterson,B.LakePeterson,"Seattle, WA","B.LakePeterson is a Seattle DJ active across community-driven dance spaces, from Belltown Art Walk sets to Monkey Loft lineups and Shameless-linked events. Listings connect the name to Reverie Society's Cascadia Winter Solstice closing party, Deck'd Out season-closure programming, and Breakfast Club. The sound lands in a social, room-aware lane built for art spaces, daytime dance floors, and late-night house and techno gatherings.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/b-lake-peterson-0db86607.jpg,https://www.instagram.com/b.lakepeterson/,,,,,https://www.emeraldcityedm.com/events/reverie-society-12-21/,B.Lakepeterson
bexfromchicago,BEXFROMCHICAGO,,,false,,,,,,,,
big-sir,BIG SIR,"Seattle, WA","Seattle-based DJ (Casey Berner) delivering tech house and deep house to the city's queer underground and club scene. A regular at The Cuff Complex, Monkey Loft, and Reverie Society events. Plays everything from deep house to EDM and melodic vibes.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/big-sir-79a1c477.jpg,https://www.instagram.com/caseyberner/,,,,,,
brandon-keys,BRANDON KEYS,,,false,,,,,,,,
bad-ginger,Bad Ginger,"Seattle, WA","Seattle DJ known for sultry deep house and dirty, high-energy heaters. A fixture in Seattle's local lady DJ scene.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/bad-ginger-d583c4e6.jpg,https://www.instagram.com/djbadginger/,https://soundcloud.com/badginger,,,,,
banyan,Banyan,"Seattle, WA","Seattle-based DJ bringing organic, natural-sounding electronic music to the underground dance scene. Known for lush, layered sounds and an immersive approach to dance floor storytelling.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs%2Fbanyan-ffb73a2b.jpg,https://www.instagram.com/banyanmusicofficial/,,,,,,
ben-annand,Ben Annand,"Los Angeles, CA / Maui, HI","West Coast festival DJ with deep house to techno roots going back to 1995. A top West Coast festival performer with credits at Lightning in a Bottle, Desert Hearts, Shambhala, Oregon Eclipse, and Photosynthesis. Runs B2P booking agency, placing acts across the West Coast from San Diego to Seattle.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/ben-annand-78e536ab.jpg,https://www.instagram.com/benannand/,https://soundcloud.com/ben-annand,,,https://www.benannandmusic.com/,,
best-butt-camp,Best Butt Camp,"Seattle, WA","Seattle-based DJ camp and event collective founded in 2016. Known for throwing booty-forward, body-positive dance parties at venues like Nectar Lounge. Affiliated with DJ Cheeks and Neon Lounge NW. A fun and inclusive presence in the Seattle underground dance scene.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/best-butt-camp-d663dc38.jpg,https://www.instagram.com/bestbuttcamp/,,,,,,
bex,Bex,"Seattle, WA","Chicago-born DJ now based in Seattle as a resident. A regular at Shameless Productions' Deck'd Out summer series and vinyl sets at Monkey Loft. Known for a diverse, free-flowing style that spans house, live-streamed sets, and intimate club performances across Seattle.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/bex-43ebef0f.jpg,https://www.instagram.com/bex.live/,,,,,,
biplov,Biplov,"Seattle, WA","Seattle-based Nepalese-American DJ and co-founder of Caravan Seattle. One half of the Silk Road DJ duo alongside Yelda (an Afghan-American DJ), sharing global beats that span world music, electronic, and beyond. A community builder in Seattle's diverse dance music scene.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/biplov-5dc7e1a9.jpg,https://www.instagram.com/biplovbaral/,,,,,,
bizio,Bizio,"Portland, OR","Bizio is Nico Bisio, a Portland-based DJ and promoter active in Oregon's underground electronic community. His Healing House Music identity points toward a broad, psychedelic lane where house, techno, and communal dance culture meet without getting precious. As both organizer and selector, he understands the practical work behind a good room: sound, flow, trust, and the small decisions that let people open up. Bizio brings Northwest ritual energy,earthy, heady, and still fully committed to the kick drum.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/bizio-e45536b4.jpg,,https://soundcloud.com/biziohealinghousemusic,,,,https://ra.co/dj/bizio/biography,
black-velveteen,Black Velveteen,"Seattle, WA","Black Velveteen (real name Chris Offutt) is a pillar of Seattle's dance music scene, originally from the South Side of Chicago. Navigating the underground scenes from Chicago to Seattle to San Francisco and back again, Offutt crafts dark, deep, and atmospheric electronic music with active releases on SoundCloud and an integrated show on Proton Radio. Their sound blends deep, ethereal, percussive, melodic, and sometimes dark elements, earning recognition as a creator, artist, writer, and DJ/producer in the Pacific Northwest.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/black-velveteen-60d57350.jpg,,https://soundcloud.com/blackvelveteennow,,,,,
blk-lab,Blk Lab,"Seattle, WA","New Jersey-born, Seattle-based DJ (John Labrador). Known for progressive house with Latin and tech house influences.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/blk-lab-5534ff69.jpg,https://www.instagram.com/blklab__/,https://soundcloud.com/user-625541836,,,,,
blueyedsoul,Blueyedsoul,"Seattle, WA","Blueyedsoul, also known as Big Room Benny or Benny Bitters, is a Seattle-based DJ bringing house music and big-room lift to the Pacific Northwest. A Capitol Hill Block Party regular with Neumos and Barboza ties, he plays for rooms that want familiar energy, local confidence, and a clean party read.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/blueyedsoul-1712933b.jpg,https://www.instagram.com/the.blueyedsoul/,,,,,,
bobi-stevkovski,Bobi Stevkovski,"Atlanta, GA",Atlanta-based DJ and producer. Creative Director at Satya Records. Co-founder of Zemya Fest.,false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/bobi-stevkovski-93ff2f72.jpg,https://www.instagram.com/bobi.stevkovski/,https://soundcloud.com/stevkovski,,,,,
brian-lyons,Brian Lyons,"Seattle, WA","Brian Lyons is one of Seattle house music's steady hands, a Flammable founder and longtime champion of underground dance music. His sets carry the patience of someone who knows how to build a room instead of just hit it with peaks. Around Shameless, that makes him exactly the kind of selector who can turn a rooftop, basement, or late-night room into a proper Seattle house gathering. Deep grooves, warm pressure, and no wasted motion.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/brian-lyons-822d09a3.jpg,https://www.instagram.com/flammable_sundays/,,,,,,
brit,Brit,"Seattle, WA","Seattle DJ, producer, and electronic music figure for over two decades. Real name Brit Hansen. Co-founded the beloved duo Jacob London with Dave Pezzner, releasing funky underground tech-house 12-inches throughout the 2000s. Also active as a solo artist as Hanssen. Guest DJ for KEXP's Midnight in a Perfect World. Featured at Deck'd Out and Shameless events.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/brit-09302116.jpg,,https://soundcloud.com/hanssen,,,,https://bandcamp.com/hanssen,
brit-hansen,Brit Hansen,"Seattle, WA","Brit Hansen is a Seattle electronic music fixture whose work stretches from the beloved tech-house duo Jacob London to the left-field solo world of Hanssen. KEXP describes her as an integral figure in the local electronic community for more than two decades, and that history shows in the way she moves between weirdness and dance-floor function. Her solo direction leans cinematic, dreamy, and synth-heavy, while her DJ instincts still know exactly how to pull a room into hypnotic motion. Brit brings the rare combination of scene memory and restless curiosity,deep roots, strange colors, and zero autopilot.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/brit-hansen-6d93ec28.jpg,https://www.instagram.com/brithansen.biz/,,,,,,
brit-jean,Brit Jean,,,false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs%2Fbrit-jean-bbc78f82.jpg,https://www.instagram.com/brit__jean/,,,,,,
brooke-would,Brooke Would,"Seattle, WA","Brooke Would is a Seattle selector connected to the funky side of underground house. Her SoundCloud trail under The Funky Kind points toward sets that favor groove, warmth, and the kind of low-key swing that makes a room loosen up without being pushed. The name reads playful, but the lane is practical: records that keep bodies moving and leave room for personality. Brooke Would brings the fun without flattening the taste.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/brooke-would-1cdca71b.jpg,https://www.instagram.com/brooke_would/,https://soundcloud.com/thefunkykind,,,,,
bze,Bze,,,false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs%2Fbze-524c230f.jpg,https://www.instagram.com/bgeezyone/,,,,,,
bzy,Bzy,,,false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs%2Fbzy-c6ee52b2.jpg,https://www.instagram.com/dj_bzy/,,,,,,
cafenico,Cafenico,,,false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs%2Fcafenico-19449257.jpg,https://www.instagram.com/cafenicomusic/,,,,,,
cami-jones,Cami Jones,,"Rooted in rhythm, soul, and pure dancefloor instinct, Cami Jones is a DJ, producer, and vocalist known for her deep, sultry fusion of house and techno—groove-heavy, emotionally charged, and impossible to ignore.Now based in Ibiza, Cami has become a trusted fixture on the island’s most iconic dancefloors, holding a residency at Pikes Ibiza, where her sets are known for their intimacy, unpredictability, and unforgettable energy. Whether warming up a terrace or commanding a peak-time room, she reads the crowd with precision—guiding dancers through raw, euphoric, and magnetic sonic journeys. Her music has been released on some of the most respected labels in underground dance music, including Hot Creations, Repopulate Mars, Kaluki, HE.SHE.THEY, and her own rising imprint, nooghty. As both a producer and vocalist, Cami weaves hypnotic textures and sensual toplines that blur genre boundaries and captivate dancefloors worldwide. What truly sets her apart is the emotional depth she brings to every performance. From Australia’s coastlines to the heart of the European circuit, Cami has built a reputation for crafting experiences—not just playing tracks. Her presence behind the decks is powerful, authentic, and refreshingly unpretentious. With a growing global following and a wave of new music and standout shows ahead in 2025, Cami Jones is already recognized as one of the most exciting and soulful voices in underground dance music—a talent defined by substance, groove, and timeless style.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/3606954b-20be-4322-836e-06b2db811f8e.jpg,,https://soundcloud.com/djcamijones,,,,https://ra.co/dj/camijones,
cancel-the-couch,CancelTheCouch,,,false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs%2Fcancel-the-couch-3c81c117.jpg,https://www.instagram.com/cancelthecouch/,,,,,,
canche-cachetes,Canche Cachetes,,,false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs%2Fcanche-cachetes-68cf4693.jpg,https://www.instagram.com/canchecachetes/,,,,,,
carlos-ruiz,Carlos Ruiz,,,false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs%2Fcarlos-ruiz-17ed69c5.jpg,https://www.instagram.com/cmrtyz/,,,,,,Carlos R
casewag,CaseWag,,,false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs%2Fcasewag-2982b8bc.jpg,https://www.instagram.com/casewag/,,,,,,
cat-call,Cat Call,,,false,,https://www.instagram.com/catcall.dj/,,,,,,
cat-claw,Cat Claw,,,false,,https://www.instagram.com/catclaw.dj/,,,,,,
cee-white,Cee White,,,false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs%2Fcee-white-5920afe8.jpg,https://www.instagram.com/ceeblanco43/,,,,,,
chad-neiro,Chad Neiro,,,false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs%2Fchad-neiro-396cbfad.jpg,https://www.instagram.com/chadneiro/,,,,,,
chaotic-noise-marching-corps,Chaotic Noise Marching Corps,"Seattle, WA","Seattle renegade brass band dedicated to keeping the tradition of music, performance, energy, and sheer fun alive in the streets. Known for high-decibel immersive street shows.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/chaotic-noise-marching-corps-cfbf9627.jpg,https://www.instagram.com/chaoticnoisemarchingcorps/,https://soundcloud.com/chaoticnoisemarchingcorps,,,,,
cheeks,Cheeks,"Seattle, WA","Cheeks is a Seattle-based DJ deeply embedded in the Shameless PNW and underground festival community. A regular at Monkey Loft's Deck'd Out series and Shameless Memorial Day Hijinks events alongside Desert Hearts DJs, Cheeks brings high-energy, eclectic sounds described as booty afro latin funked up acid house beats. Also affiliated with Best Butt Camp, a Burning Man theme camp, and part of the tight-knit Pacific Northwest queer underground scene.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/6787cb67-d9e5-4dab-89fe-5e65ed5ec680.jpg,https://www.instagram.com/djcheeksmusic/,,,,,,
